"id","name","base_experience","height","weight","types","abilities","hp","attack","defense","sp_attack","sp_defense","speed"
"64","kadabra","140","13","565","psychic","synchronize|inner-focus|magic-guard","40","35","30","120","70","105"
"62","poliwrath","230","13","540","water|fighting","water-absorb|damp|swift-swim","90","95","95","70","90","70"
"63","abra","62","9","195","psychic","synchronize|inner-focus|magic-guard","25","20","15","105","55","90"
"65","alakazam","225","15","480","psychic","synchronize|inner-focus|magic-guard","55","50","45","135","95","120"
"69","bellsprout","60","7","40","grass|poison","chlorophyll|gluttony","50","75","35","70","30","40"
"60","poliwag","60","6","124","water","water-absorb|damp|swift-swim","40","50","40","40","40","90"
"66","machop","61","8","195","fighting","guts|no-guard|steadfast","70","80","50","35","35","35"
"67","machoke","142","15","705","fighting","guts|no-guard|steadfast","80","100","70","50","60","45"
"72","tentacool","67","9","455","water|poison","clear-body|liquid-ooze|rain-dish","40","40","35","50","100","70"
"70","weepinbell","137","10","64","grass|poison","chlorophyll|gluttony","65","90","50","85","45","55"
"71","victreebel","221","17","155","grass|poison","chlorophyll|gluttony","80","105","65","100","70","70"
"73","tentacruel","180","16","550","water|poison","clear-body|liquid-ooze|rain-dish","80","70","65","80","120","100"
"77","ponyta","82","10","300","fire","run-away|flash-fire|flame-body","50","85","55","65","65","90"
"68","machamp","227","16","1300","fighting","guts|no-guard|steadfast","90","130","80","65","85","55"
"74","geodude","60","4","200","rock|ground","rock-head|sturdy|sand-veil","40","80","100","30","30","20"
"75","graveler","137","10","1050","rock|ground","rock-head|sturdy|sand-veil","55","95","115","45","45","35"
"80","slowbro","172","16","785","water|psychic","oblivious|own-tempo|regenerator","95","75","110","100","80","30"
"78","rapidash","175","17","950","fire","run-away|flash-fire|flame-body","65","100","70","80","80","105"
"79","slowpoke","63","12","360","water|psychic","oblivious|own-tempo|regenerator","90","65","65","40","40","15"
"81","magnemite","65","3","60","electric|steel","magnet-pull|sturdy|analytic","25","35","70","95","55","45"
"85","dodrio","165","18","852","normal|flying","run-away|early-bird|tangled-feet","60","110","70","60","60","110"
"76","golem","223","14","3000","rock|ground","rock-head|sturdy|sand-veil","80","120","130","55","65","45"
"82","magneton","163","10","600","electric|steel","magnet-pull|sturdy|analytic","50","60","95","120","70","70"
"83","farfetchd","132","8","150","normal|flying","keen-eye|inner-focus|defiant","52","90","55","58","62","60"
"88","grimer","65","9","300","poison","stench|sticky-hold|poison-touch","80","80","50","40","50","25"
"86","seel","65","11","900","water","thick-fat|hydration|ice-body","65","45","55","45","70","45"
"87","dewgong","166","17","1200","water|ice","thick-fat|hydration|ice-body","90","70","80","70","95","70"
"89","muk","175","12","300","poison","stench|sticky-hold|poison-touch","105","105","75","65","100","50"
"93","haunter","142","16","1","ghost|poison","levitate","45","50","45","115","55","95"
"90","shellder","61","3","40","water","shell-armor|skill-link|overcoat","30","65","100","45","25","40"
"84","doduo","62","14","392","normal|flying","run-away|early-bird|tangled-feet","35","85","45","35","35","75"
"91","cloyster","184","15","1325","water|ice","shell-armor|skill-link|overcoat","50","95","180","85","45","70"
"96","drowzee","66","10","324","psychic","insomnia|forewarn|inner-focus","60","48","45","43","90","42"
"94","gengar","225","15","405","ghost|poison","cursed-body","60","65","60","130","75","110"
"95","onix","77","88","2100","rock|ground","rock-head|sturdy|weak-armor","35","45","160","30","45","70"
"97","hypno","169","16","756","psychic","insomnia|forewarn|inner-focus","85","73","70","73","115","67"
"101","electrode","172","12","666","electric","soundproof|static|aftermath","60","50","70","80","80","150"
"98","krabby","65","4","65","water","hyper-cutter|shell-armor|sheer-force","30","105","90","25","25","50"
"99","kingler","166","13","600","water","hyper-cutter|shell-armor|sheer-force","55","130","115","50","50","75"
"104","cubone","64","4","65","ground","rock-head|lightning-rod|battle-armor","50","50","95","40","50","35"
"92","gastly","62","13","1","ghost|poison","levitate","30","35","30","100","35","80"
"102","exeggcute","65","4","25","grass|psychic","chlorophyll|harvest","60","40","80","60","45","40"
"103","exeggutor","186","20","1200","grass|psychic","chlorophyll|harvest","95","95","85","125","75","55"
"105","marowak","149","10","450","ground","rock-head|lightning-rod|battle-armor","60","80","110","50","80","45"
"109","koffing","68","6","10","poison","levitate|neutralizing-gas|stench","40","65","95","60","45","35"
"106","hitmonlee","159","15","498","fighting","limber|reckless|unburden","50","120","53","35","110","87"
"100","voltorb","66","5","104","electric","soundproof|static|aftermath","40","30","50","55","55","100"
"107","hitmonchan","159","14","502","fighting","keen-eye|iron-fist|inner-focus","50","105","79","35","110","76"
"112","rhydon","170","19","1200","ground|rock","lightning-rod|rock-head|reckless","105","130","120","45","45","40"
"110","weezing","172","12","95","poison","levitate|neutralizing-gas|stench","65","90","120","85","70","60"
"111","rhyhorn","69","10","1150","ground|rock","lightning-rod|rock-head|reckless","80","85","95","30","30","25"
"113","chansey","395","11","346","normal","natural-cure|serene-grace|healer","250","5","5","35","105","50"
"117","seadra","154","12","250","water","poison-point|sniper|damp","55","65","95","95","45","85"
"114","tangela","87","10","350","grass","chlorophyll|leaf-guard|regenerator","65","55","115","100","40","60"
"108","lickitung","77","12","655","normal","own-tempo|oblivious|cloud-nine","90","55","75","60","75","30"
"119","seaking","158","13","390","water","swift-swim|water-veil|lightning-rod","80","92","65","65","80","68"
"118","goldeen","64","6","150","water","swift-swim|water-veil|lightning-rod","45","67","60","35","50","63"
"120","staryu","68","8","345","water","illuminate|natural-cure|analytic","30","45","55","70","55","85"
"121","starmie","182","11","800","water|psychic","illuminate|natural-cure|analytic","60","75","85","100","85","115"
"115","kangaskhan","172","22","800","normal","early-bird|scrappy|inner-focus","105","95","80","40","80","90"
"125","electabuzz","172","11","300","electric","static|vital-spirit","65","83","57","95","85","105"
"122","mr-mime","161","13","545","psychic|fairy","soundproof|filter|technician","40","45","65","100","120","90"
"116","horsea","59","4","80","water","swift-swim|sniper|damp","30","40","70","70","25","60"
"127","pinsir","175","15","550","bug","hyper-cutter|mold-breaker|moxie","65","125","100","55","70","85"
"126","magmar","173","13","445","fire","flame-body|vital-spirit","65","95","57","100","85","93"
"128","tauros","172","14","884","normal","intimidate|anger-point|sheer-force","75","100","95","40","70","110"
"129","magikarp","40","9","100","water","swift-swim|rattled","20","10","55","15","20","80"
"123","scyther","100","15","560","bug|flying","swarm|technician|steadfast","70","110","80","55","80","105"
"133","eevee","65","3","65","normal","run-away|adaptability|anticipation","55","55","50","45","65","55"
"130","gyarados","189","65","2350","water|flying","intimidate|moxie","95","125","79","60","100","81"
"124","jynx","159","14","406","ice|psychic","oblivious|forewarn|dry-skin","65","50","35","115","95","95"
"135","jolteon","184","8","245","electric","volt-absorb|quick-feet","65","65","60","110","95","130"
"134","vaporeon","184","10","290","water","water-absorb|hydration","130","65","60","110","95","65"
"137","porygon","79","8","365","normal","trace|download|analytic","65","60","70","85","75","40"
"136","flareon","184","9","250","fire","flash-fire|guts","65","130","60","95","110","65"
"131","lapras","187","25","2200","water|ice","water-absorb|shell-armor|hydration","130","85","80","85","95","60"
"141","kabutops","173","13","405","rock|water","swift-swim|battle-armor|weak-armor","60","115","105","65","70","80"
"138","omanyte","71","4","75","rock|water","swift-swim|shell-armor|weak-armor","35","40","100","90","55","35"
"132","ditto","101","3","40","normal","limber|imposter","48","48","48","48","48","48"
"143","snorlax","189","21","4600","normal","immunity|thick-fat|gluttony","160","110","65","65","110","30"
"145","zapdos","261","16","526","electric|flying","pressure|static","90","90","85","125","90","100"
"142","aerodactyl","180","18","590","rock|flying","rock-head|pressure|unnerve","80","105","65","60","75","130"
"139","omastar","173","10","350","rock|water","swift-swim|shell-armor|weak-armor","70","60","125","115","70","55"
"144","articuno","261","17","554","ice|flying","pressure|snow-cloak","90","85","100","95","125","85"
"149","dragonite","270","22","2100","dragon|flying","inner-focus|multiscale","91","134","95","100","100","80"
"146","moltres","261","20","600","fire|flying","pressure|flame-body","90","100","90","125","85","90"
"140","kabuto","71","5","115","rock|water","swift-swim|battle-armor|weak-armor","30","80","90","55","45","55"
"151","mew","270","4","40","psychic","synchronize","100","100","100","100","100","100"
"153","bayleef","142","12","158","grass","overgrow|leaf-guard","60","62","80","63","80","60"
"150","mewtwo","306","20","1220","psychic","pressure|unnerve","106","110","90","154","90","130"
"147","dratini","60","18","33","dragon","shed-skin|marvel-scale","41","64","45","50","50","50"
"152","chikorita","64","9","64","grass","overgrow|leaf-guard","45","49","65","49","65","45"
"157","typhlosion","240","17","795","fire","blaze|flash-fire","78","84","78","109","85","100"
"154","meganium","236","18","1005","grass","overgrow|leaf-guard","80","82","100","83","100","80"
"148","dragonair","147","40","165","dragon","shed-skin|marvel-scale","61","84","65","70","70","70"
"159","croconaw","142","11","250","water","torrent|sheer-force","65","80","80","59","63","58"
"161","sentret","43","8","60","normal","run-away|keen-eye|frisk","35","46","34","35","45","20"
"158","totodile","63","6","95","water","torrent|sheer-force","50","65","64","44","48","43"
"155","cyndaquil","62","5","79","fire","blaze|flash-fire","39","52","43","60","50","65"
"165","ledyba","53","10","108","bug|flying","swarm|early-bird|rattled","40","20","30","40","80","55"
"162","furret","145","18","325","normal","run-away|keen-eye|frisk","85","76","64","45","55","90"
"160","feraligatr","239","23","888","water","torrent|sheer-force","85","105","100","79","83","78"
"156","quilava","142","9","190","fire","blaze|flash-fire","58","64","58","80","65","80"
"167","spinarak","50","5","85","bug|poison","swarm|insomnia|sniper","40","60","40","40","40","30"
"169","crobat","241","18","750","poison|flying","inner-focus|infiltrator","85","90","80","70","80","130"
"166","ledian","137","14","356","bug|flying","swarm|early-bird|iron-fist","55","35","50","55","110","85"
"163","hoothoot","52","7","212","normal|flying","insomnia|keen-eye|tinted-lens","60","30","30","36","56","50"
"173","cleffa","44","3","30","fairy","cute-charm|magic-guard|friend-guard","50","25","28","45","55","15"
"170","chinchou","66","5","120","water|electric","volt-absorb|illuminate|water-absorb","75","38","38","56","56","67"
"168","ariados","140","11","335","bug|poison","swarm|insomnia|sniper","70","90","70","60","70","40"
"164","noctowl","158","16","408","normal|flying","insomnia|keen-eye|tinted-lens","100","50","50","86","96","70"
"175","togepi","49","3","15","fairy","hustle|serene-grace|super-luck","35","20","65","40","65","20"
"177","natu","64","2","20","psychic|flying","synchronize|early-bird|magic-bounce","40","50","45","70","45","70"
"174","igglybuff","42","3","10","normal|fairy","cute-charm|competitive|friend-guard","90","30","15","40","20","15"
"171","lanturn","161","12","225","water|electric","volt-absorb|illuminate|water-absorb","125","58","58","76","76","67"
"181","ampharos","230","14","615","electric","static|plus","90","75","85","115","90","55"
"178","xatu","165","15","150","psychic|flying","synchronize|early-bird|magic-bounce","65","75","70","95","70","95"
"172","pichu","41","3","20","electric","static|lightning-rod","20","40","15","35","35","60"
"176","togetic","142","6","32","fairy|flying","hustle|serene-grace|super-luck","55","40","85","80","105","40"
"183","marill","88","4","85","water|fairy","thick-fat|huge-power|sap-sipper","70","20","50","20","50","40"
"185","sudowoodo","144","12","380","rock","sturdy|rock-head|rattled","70","100","115","30","65","30"
"182","bellossom","221","4","58","grass","chlorophyll|healer","75","80","95","90","100","50"
"179","mareep","56","6","78","electric","static|plus","55","40","40","65","45","35"
"189","jumpluff","207","8","30","grass|flying","chlorophyll|leaf-guard|infiltrator","75","55","70","55","95","110"
"180","flaaffy","128","8","133","electric","static|plus","70","55","55","80","60","45"
"186","politoed","225","11","339","water","water-absorb|damp|drizzle","90","75","75","90","100","70"
"184","azumarill","189","8","285","water|fairy","thick-fat|huge-power|sap-sipper","100","50","80","60","80","50"
"191","sunkern","36","3","18","grass","chlorophyll|solar-power|early-bird","30","30","30","30","30","30"
"193","yanma","78","12","380","bug|flying","speed-boost|compound-eyes|frisk","65","65","45","75","45","95"
"190","aipom","72","8","115","normal","run-away|pickup|skill-link","55","70","55","40","55","85"
"187","hoppip","50","4","5","grass|flying","chlorophyll|leaf-guard|infiltrator","35","35","40","35","55","50"
"197","umbreon","184","10","270","dark","synchronize|inner-focus","95","65","110","60","130","65"
"188","skiploom","119","6","10","grass|flying","chlorophyll|leaf-guard|infiltrator","55","45","50","45","65","80"
"194","wooper","42","4","85","water|ground","damp|water-absorb|unaware","55","45","45","25","25","15"
"192","sunflora","149","8","85","grass","chlorophyll|solar-power|early-bird","75","75","55","105","85","30"
"199","slowking","172","20","795","water|psychic","oblivious|own-tempo|regenerator","95","75","80","100","110","30"
"201","unown","118","5","50","psychic","levitate","48","72","48","72","48","48"
"198","murkrow","81","5","21","dark|flying","insomnia|super-luck|prankster","60","85","42","85","42","91"
"195","quagsire","151","14","750","water|ground","damp|water-absorb|unaware","95","85","85","65","65","35"
"202","wobbuffet","142","13","285","psychic","shadow-tag|telepathy","190","33","58","33","58","33"
"196","espeon","184","9","265","psychic","synchronize|magic-bounce","65","65","60","130","95","110"
"205","forretress","163","12","1258","bug|steel","sturdy|overcoat","75","90","140","60","60","40"
"200","misdreavus","87","7","10","ghost","levitate","60","60","60","85","85","85"
"207","gligar","86","11","648","ground|flying","hyper-cutter|sand-veil|immunity","65","75","105","35","65","85"
"209","snubbull","60","6","78","fairy","intimidate|run-away|rattled","60","80","50","40","40","30"
"206","dunsparce","145","15","140","normal","serene-grace|run-away|rattled","100","70","70","65","65","45"
"203","girafarig","159","15","415","normal|psychic","inner-focus|early-bird|sap-sipper","70","80","65","90","65","85"
"210","granbull","158","14","487","fairy","intimidate|quick-feet|rattled","90","120","75","60","60","45"
"213","shuckle","177","6","205","bug|rock","sturdy|gluttony|contrary","20","10","230","10","230","5"
"204","pineco","58","6","72","bug","sturdy|overcoat","50","65","90","35","35","15"
"208","steelix","179","92","4000","steel|ground","rock-head|sturdy|sheer-force","75","85","200","55","65","30"
"215","sneasel","86","9","280","dark|ice","inner-focus|keen-eye|pickpocket","55","95","55","35","75","115"
"217","ursaring","175","18","1258","normal","guts|quick-feet|unnerve","90","130","75","75","75","55"
"214","heracross","175","15","540","bug|fighting","swarm|guts|moxie","80","125","75","40","95","85"
"218","slugma","50","7","350","fire","magma-armor|flame-body|weak-armor","40","40","40","70","40","20"
"211","qwilfish","88","5","39","water|poison","poison-point|swift-swim|intimidate","65","95","85","55","55","85"
"225","delibird","116","9","160","ice|flying","vital-spirit|hustle|insomnia","45","55","45","65","45","75"
"223","remoraid","60","6","120","water","hustle|sniper|moody","35","65","35","65","35","65"
"221","piloswine","158","11","558","ice|ground","oblivious|snow-cloak|thick-fat","100","100","80","60","60","50"
"212","scizor","175","18","1180","bug|steel","swarm|technician|light-metal","70","130","100","55","80","65"
"222","corsola","144","6","50","water|rock","hustle|natural-cure|regenerator","65","55","95","65","95","35"
"216","teddiursa","66","6","88","normal","pickup|quick-feet|honey-gather","60","80","50","50","50","40"
"219","magcargo","151","8","550","fire|rock","magma-armor|flame-body|weak-armor","60","50","120","90","80","30"
"226","mantine","170","21","2200","water|flying","swift-swim|water-absorb|water-veil","85","40","70","80","140","70"
"231","phanpy","66","5","335","ground","pickup|sand-veil","90","60","60","40","40","40"
"233","porygon2","180","6","325","normal","trace|download|analytic","85","80","90","105","95","60"
"220","swinub","50","4","65","ice|ground","oblivious|snow-cloak|thick-fat","50","50","40","30","30","50"
"230","kingdra","243","18","1520","water|dragon","swift-swim|sniper|damp","75","95","95","95","95","85"
"229","houndoom","175","14","350","dark|fire","early-bird|flash-fire|unnerve","75","90","50","110","80","95"
"224","octillery","168","9","285","water","suction-cups|sniper|moody","75","105","75","105","75","45"
"227","skarmory","163","17","505","steel|flying","keen-eye|sturdy|weak-armor","65","80","140","40","70","70"
"234","stantler","163","14","712","normal","intimidate|frisk|sap-sipper","73","95","62","85","65","85"
"239","elekid","72","6","235","electric","static|vital-spirit","45","63","37","65","55","95"
"241","miltank","172","12","755","normal","thick-fat|scrappy|sap-sipper","95","80","105","40","70","100"
"228","houndour","66","6","108","dark|fire","early-bird|flash-fire|unnerve","45","60","30","80","50","65"
"238","smoochum","61","4","60","ice|psychic","oblivious|forewarn|hydration","45","30","15","85","65","65"
"237","hitmontop","159","14","480","fighting","intimidate|technician|steadfast","50","95","95","35","110","70"
"235","smeargle","88","12","580","normal","own-tempo|technician|moody","55","20","35","20","45","75"
"232","donphan","175","11","1200","ground","sturdy|sand-veil","90","120","120","60","60","50"
"242","blissey","608","15","468","normal","natural-cure|serene-grace|healer","255","10","10","75","135","55"
"247","pupitar","144","12","1520","rock|ground","shed-skin","70","84","70","65","70","51"
"249","lugia","306","52","2160","psychic|flying","pressure|multiscale","106","90","130","90","154","110"
"236","tyrogue","42","7","210","fighting","guts|steadfast|vital-spirit","35","35","35","35","35","35"
"246","larvitar","60","6","720","rock|ground","guts|sand-veil","50","64","50","45","50","41"
"245","suicune","261","20","1870","water","pressure|inner-focus","100","75","115","90","115","85"
"243","raikou","261","19","1780","electric","pressure|inner-focus","90","85","75","115","100","115"
"240","magby","73","7","214","fire","flame-body|vital-spirit","45","75","37","70","55","83"
"250","ho-oh","306","38","1990","fire|flying","pressure|regenerator","106","130","90","110","154","90"
"255","torchic","62","4","25","fire","blaze|speed-boost","45","60","40","70","50","45"
"257","blaziken","239","19","520","fire|fighting","blaze|speed-boost","80","120","70","110","70","80"
"253","grovyle","142","9","216","grass","overgrow|unburden","50","65","45","85","65","95"
"254","sceptile","239","17","522","grass","overgrow|unburden","70","85","65","105","85","120"
"244","entei","261","21","1980","fire","pressure|inner-focus","115","115","85","90","75","100"
"251","celebi","270","6","50","psychic|grass","natural-cure","100","100","100","100","100","100"
"258","mudkip","62","4","76","water","torrent|damp","50","70","50","50","50","40"
"248","tyranitar","270","20","2020","rock|dark","sand-stream|unnerve","100","134","110","95","100","61"
"263","zigzagoon","56","4","175","normal","pickup|gluttony|quick-feet","38","30","41","30","41","60"
"265","wurmple","56","3","36","bug","shield-dust|run-away","45","45","35","20","30","20"
"261","poochyena","56","5","136","dark","run-away|quick-feet|rattled","35","55","35","30","30","35"
"262","mightyena","147","10","370","dark","intimidate|quick-feet|moxie","70","90","70","60","60","70"
"266","silcoon","72","6","100","bug","shed-skin","50","35","55","25","25","15"
"259","marshtomp","142","7","280","water|ground","torrent|damp","70","85","70","60","70","50"
"252","treecko","62","5","50","grass","overgrow|unburden","40","45","35","65","55","70"
"256","combusken","142","9","195","fire|fighting","blaze|speed-boost","60","85","60","85","60","55"
"273","seedot","44","5","40","grass","chlorophyll|early-bird|pickpocket","40","40","50","30","30","30"
"271","lombre","119","12","325","water|grass","swift-swim|rain-dish|own-tempo","60","50","50","60","70","50"
"269","dustox","173","12","316","bug|poison","shield-dust|compound-eyes","60","50","70","50","90","65"
"270","lotad","44","5","26","water|grass","swift-swim|rain-dish|own-tempo","40","30","30","40","50","30"
"267","beautifly","178","10","284","bug|flying","swarm|rivalry","60","70","50","100","50","65"
"274","nuzleaf","119","10","280","grass|dark","chlorophyll|early-bird|pickpocket","70","70","40","60","40","60"
"260","swampert","241","15","819","water|ground","torrent|damp","100","110","90","85","90","60"
"264","linoone","147","5","325","normal","pickup|gluttony|quick-feet","78","70","61","50","61","100"
"281","kirlia","97","8","202","psychic|fairy","synchronize|trace|telepathy","38","35","35","65","55","50"
"279","pelipper","154","12","280","water|flying","keen-eye|drizzle|rain-dish","60","50","100","95","70","65"
"277","swellow","159","7","198","normal|flying","guts|scrappy","60","85","60","75","50","125"
"278","wingull","54","6","95","water|flying","keen-eye|hydration|rain-dish","40","30","30","55","30","85"
"268","cascoon","72","7","115","bug","shed-skin","50","35","55","25","25","15"
"272","ludicolo","216","15","550","water|grass","swift-swim|rain-dish|own-tempo","80","70","70","90","100","70"
"275","shiftry","216","13","596","grass|dark","chlorophyll|wind-rider|pickpocket","90","100","60","90","60","80"
"282","gardevoir","233","16","484","psychic|fairy","synchronize|trace|telepathy","68","65","65","125","115","80"
"287","slakoth","56","8","240","normal","truant","60","60","60","35","35","30"
"289","slaking","252","20","1305","normal","truant","150","160","100","95","65","100"
"285","shroomish","59","4","45","grass","effect-spore|poison-heal|quick-feet","60","40","60","40","60","35"
"286","breloom","161","12","392","grass|fighting","effect-spore|poison-heal|technician","60","130","80","60","60","70"
"280","ralts","40","4","66","psychic|fairy","synchronize|trace|telepathy","28","25","25","45","35","40"
"283","surskit","54","5","17","bug|water","swift-swim|rain-dish","40","30","32","50","52","65"
"276","taillow","54","3","23","normal|flying","guts|scrappy","40","55","30","30","30","85"
"290","nincada","53","5","55","bug|ground","compound-eyes|run-away","31","45","90","30","30","40"
"295","exploud","221","15","840","normal","soundproof|scrappy","104","91","63","91","73","68"
"297","hariyama","166","23","2538","fighting","thick-fat|guts|sheer-force","144","120","60","40","60","50"
"293","whismur","48","6","163","normal","soundproof|rattled","64","51","23","51","23","28"
"294","loudred","126","10","405","normal","soundproof|scrappy","84","71","43","71","43","48"
"288","vigoroth","154","14","465","normal","vital-spirit","80","80","80","55","55","90"
"291","ninjask","160","8","120","bug|flying","speed-boost|infiltrator","61","90","45","50","50","160"
"284","masquerain","159","8","36","bug|flying","intimidate|unnerve","70","60","62","100","82","80"
"298","azurill","38","2","20","normal|fairy","thick-fat|huge-power|sap-sipper","50","20","40","20","40","20"
"303","mawile","133","6","115","steel|fairy","hyper-cutter|intimidate|sheer-force","50","85","85","55","55","50"
"305","lairon","151","9","1200","steel|rock","sturdy|rock-head|heavy-metal","60","90","140","50","50","40"
"301","delcatty","140","11","326","normal","cute-charm|normalize|wonder-skin","70","65","65","55","55","90"
"302","sableye","133","5","110","dark|ghost","keen-eye|stall|prankster","50","75","75","65","65","50"
"296","makuhita","47","10","864","fighting","thick-fat|guts|sheer-force","72","60","30","20","30","25"
"292","shedinja","83","8","12","bug|ghost","wonder-guard","1","90","45","30","30","40"
"299","nosepass","75","10","970","rock","sturdy|magnet-pull|sand-force","30","45","135","45","90","30"
"306","aggron","239","21","3600","steel|rock","sturdy|rock-head|heavy-metal","70","110","180","60","60","50"
"311","plusle","142","4","42","electric","plus|lightning-rod","60","50","40","85","75","95"
"313","volbeat","151","7","177","bug","illuminate|swarm|prankster","65","73","75","47","85","85"
"309","electrike","59","6","152","electric","static|lightning-rod|minus","40","45","40","65","40","65"
"310","manectric","166","15","402","electric","static|lightning-rod|minus","70","75","60","105","60","105"
"304","aron","66","4","600","steel|rock","sturdy|rock-head|heavy-metal","50","70","100","40","40","30"
"314","illumise","151","6","177","bug","oblivious|tinted-lens|prankster","65","47","75","73","85","85"
"307","meditite","56","6","112","fighting|psychic","pure-power|telepathy","30","40","55","40","55","60"
